secid,date,days,forward_price,strike_price,premium,impl_volatility,cp_flag,ticker,index_flag
107929,20120524,91,50.907728,50.907728,2.168689,0.183671,C,NGG,0
107929,20120524,122,50.931785,50.931785,2.243903,0.180211,C,NGG,0
107929,20120524,152,50.9561,50.9561,2.426221,0.180176,C,NGG,0
107929,20120524,182,50.981312,50.981312,2.619874,0.180139,C,NGG,0
107929,20120524,30,50.863856,50.863856,1.205634,0.207223,P,NGG,0
107929,20120524,60,50.884906,50.884906,1.711535,0.207933,P,NGG,0
107929,20120524,91,50.907728,50.907728,2.039839,0.201149,P,NGG,0
107929,20120524,122,50.931785,50.931785,2.323149,0.197781,P,NGG,0
107929,20120524,152,50.9561,50.9561,2.424256,0.1848,P,NGG,0
107929,20120524,182,50.981312,50.981312,2.469847,0.171944,P,NGG,0
107929,20120525,30,51.644174,52.566948,1.20824,0.173581,C,NGG,0
107929,20120525,60,51.665697,52.140781,1.640548,0.17362,C,NGG,0
107929,20120525,91,51.688924,51.688924,2.088298,0.17362,C,NGG,0
107929,20120525,122,51.713368,51.713368,2.205191,0.17362,C,NGG,0
107929,20120525,152,51.737872,51.737872,2.384407,0.173954,C,NGG,0
107929,20120525,182,51.763285,51.763285,2.5547,0.175735,C,NGG,0
107929,20120525,30,51.644174,51.644174,1.210171,0.204857,P,NGG,0
107929,20120525,60,51.665697,51.665697,1.679418,0.200936,P,NGG,0
107929,20120525,91,51.688924,51.688924,2.106552,0.204596,P,NGG,0
107929,20120525,122,51.713368,51.713368,2.414509,0.202467,P,NGG,0
107929,20120525,152,51.737872,51.737872,2.587209,0.19428,P,NGG,0
107929,20120525,182,51.763285,51.763285,2.776313,0.190452,P,NGG,0
107929,20120529,30,51.484858,51.484858,2.398632,0.389552,C,NGG,0
107929,20120529,60,51.506663,51.506663,2.579227,0.309971,C,NGG,0
107929,20120529,91,51.529721,51.529721,2.573086,0.251096,C,NGG,0
107929,20120529,122,51.553783,51.553783,2.341881,0.197353,C,NGG,0
107929,20120529,152,51.5779,51.5779,2.386874,0.180209,C,NGG,0
107929,20120529,182,51.602909,51.602909,2.500809,0.172559,C,NGG,0
107929,20120529,30,51.484858,51.484858,1.204057,0.204449,P,NGG,0
107929,20120529,60,51.506663,51.506663,1.669549,0.200367,P,NGG,0
107929,20120529,91,51.529721,51.529721,1.949322,0.189873,P,NGG,0
107929,20120529,122,51.553783,51.553783,2.22244,0.186888,P,NGG,0
107929,20120529,152,51.5779,51.5779,2.381223,0.179309,P,NGG,0
107929,20120529,182,51.602909,51.602909,2.565916,0.176503,P,NGG,0
107929,20120530,30,50.561437,50.561437,1.175909,0.203403,C,NGG,0
107929,20120530,60,50.582987,50.582987,1.628788,0.199247,C,NGG,0
107929,20120530,91,50.605669,50.605669,1.957609,0.194473,C,NGG,0
107929,20120530,122,50.629335,50.629335,2.263229,0.194205,C,NGG,0
107929,20120530,152,50.65312,50.65312,2.520644,0.193802,C,NGG,0
107929,20120530,182,48.65618,48.65618,3.864091,0.196402,C,NGG,0
107929,20120530,30,50.561437,50.561437,1.124396,0.194401,P,NGG,0
107929,20120530,60,50.582987,50.582987,1.57522,0.192485,P,NGG,0
107929,20120530,91,50.605669,50.605669,1.864729,0.184937,P,NGG,0
107929,20120530,122,50.629335,50.629335,2.128851,0.182271,P,NGG,0
107929,20120530,152,50.65312,50.65312,2.187917,0.167714,P,NGG,0
107929,20120530,182,48.65618,48.65618,1.728858,0.187149,P,NGG,0
107929,20120531,30,50.301551,50.301551,1.177357,0.204707,C,NGG,0
107929,20120531,60,50.322809,50.322809,1.658595,0.203944,C,NGG,0
107929,20120531,91,50.345276,50.345276,1.930827,0.192803,C,NGG,0
107929,20120531,122,50.368865,50.368865,2.211707,0.190762,C,NGG,0
107929,20120531,152,50.392642,50.392642,2.340179,0.180842,C,NGG,0
107929,20120531,182,48.395753,48.395753,3.588625,0.176568,C,NGG,0
107929,20120531,30,50.301551,50.301551,1.106295,0.192258,P,NGG,0
107929,20120531,60,50.322809,50.322809,1.570702,0.192926,P,NGG,0
107929,20120531,91,50.345276,50.345276,2.001685,0.199585,P,NGG,0
107929,20120531,122,50.368865,50.368865,2.295428,0.197602,P,NGG,0
107929,20120531,152,50.392642,50.392642,2.341186,0.180444,P,NGG,0
107929,20120531,182,48.395753,48.395753,1.631261,0.180742,P,NGG,0
107929,20120601,30,50.101805,50.101805,1.131052,0.197439,C,NGG,0
107929,20120601,60,50.123257,50.123257,1.598951,0.197392,C,NGG,0
107929,20120601,91,50.145855,50.145855,2.045377,0.205067,C,NGG,0
107929,20120601,122,50.169983,50.169983,2.346742,0.203231,C,NGG,0
107929,20120601,152,50.194542,50.194542,2.465761,0.19132,C,NGG,0
107929,20120601,182,48.198349,48.198349,3.697973,0.187889,C,NGG,0
107929,20120601,30,50.101805,50.101805,1.121931,0.195754,P,NGG,0
107929,20120601,60,50.123257,50.123257,1.587856,0.195812,P,NGG,0
107929,20120601,91,50.145855,50.145855,1.989058,0.199111,P,NGG,0
107929,20120601,122,50.169983,50.169983,2.285502,0.197524,P,NGG,0
107929,20120601,152,50.194542,50.194542,2.367828,0.183225,P,NGG,0
107929,20120601,182,48.198349,48.198349,2.370806,0.155091,P,NGG,0
107929,20120604,30,50.212604,50.212604,1.181735,0.205837,C,NGG,0
107929,20120604,60,50.234429,50.234429,1.674011,0.20621,C,NGG,0
107929,20120604,91,50.257219,50.257219,2.117924,0.211882,C,NGG,0
107929,20120604,122,50.281439,50.281439,2.441721,0.211002,C,NGG,0
107929,20120604,152,50.305856,50.305856,2.660812,0.206022,C,NGG,0
107929,20120604,182,48.309388,48.309388,3.957592,0.209229,C,NGG,0
107929,20120604,30,50.212604,50.212604,1.140668,0.198582,P,NGG,0
107929,20120604,60,50.234429,50.234429,1.613304,0.198511,P,NGG,0
107929,20120604,91,50.257219,50.257219,1.976258,0.197384,P,NGG,0
107929,20120604,122,50.281439,50.281439,2.261922,0.195042,P,NGG,0
107929,20120604,152,50.305856,50.305856,2.292579,0.176982,P,NGG,0
107929,20120604,182,48.309388,48.309388,2.315804,0.150693,P,NGG,0
107929,20120605,30,50.272874,50.272874,1.108045,0.192768,C,NGG,0
107929,20120605,60,50.29475,50.29475,1.567463,0.192848,C,NGG,0
107929,20120605,91,50.317373,50.317373,1.939541,0.19379,C,NGG,0
107929,20120605,122,50.341201,50.341201,2.243304,0.193606,C,NGG,0
107929,20120605,152,50.365146,50.365146,2.491159,0.192638,C,NGG,0
107929,20120605,182,48.368147,48.368147,3.786965,0.19693,C,NGG,0
107929,20120605,30,50.272874,50.272874,1.135995,0.197529,P,NGG,0
107929,20120605,60,50.29475,50.29475,1.605007,0.19725,P,NGG,0
