<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBE.MC,D,20060904,000000,7.29,7.37,7.29,7.33,10659200,0
IBE.MC,D,20060905,000000,7.35,7.39,7.28,7.31,41052700,0
IBE.MC,D,20060906,000000,7.31,7.34,7.21,7.23,12576600,0
IBE.MC,D,20060907,000000,7.21,7.26,7.16,7.18,11450100,0
IBE.MC,D,20060908,000000,7.18,7.32,7.18,7.30,9176500,0
IBE.MC,D,20060911,000000,7.28,7.30,7.22,7.26,7491000,0
IBE.MC,D,20060912,000000,7.26,7.46,7.26,7.46,18156700,0
IBE.MC,D,20060913,000000,7.49,7.53,7.38,7.52,23724900,0
IBE.MC,D,20060914,000000,7.53,7.70,7.52,7.57,31787100,0
IBE.MC,D,20060915,000000,7.59,8.20,7.58,7.88,61800200,0
IBE.MC,D,20060918,000000,7.98,7.98,7.81,7.89,41311400,0
IBE.MC,D,20060919,000000,7.84,7.95,7.84,7.88,19862600,0
IBE.MC,D,20060920,000000,7.84,8.10,7.81,8.06,24890700,0
IBE.MC,D,20060921,000000,8.04,8.19,8.04,8.15,23663300,0
IBE.MC,D,20060922,000000,8.10,8.19,8.04,8.07,14638300,0
IBE.MC,D,20060925,000000,8.11,8.29,8.01,8.10,19575100,0
IBE.MC,D,20060926,000000,8.27,8.48,8.27,8.34,38335900,0
IBE.MC,D,20060927,000000,9.40,9.67,9.30,9.54,429742000,0
IBE.MC,D,20060928,000000,9.38,9.42,8.95,9.12,102440600,0
IBE.MC,D,20060929,000000,8.99,9.04,8.77,8.82,234533300,0
IBE.MC,D,20061002,000000,8.82,8.92,8.79,8.88,35172000,0
IBE.MC,D,20061003,000000,8.83,8.94,8.80,8.89,29499600,0
IBE.MC,D,20061004,000000,8.95,9.02,8.89,9.00,48429900,0
IBE.MC,D,20061005,000000,9.05,9.05,8.90,8.97,40547400,0
IBE.MC,D,20061006,000000,9.00,9.11,8.96,9.05,40358300,0
IBE.MC,D,20061009,000000,8.98,9.02,8.93,8.96,39594700,0
IBE.MC,D,20061010,000000,8.95,8.96,8.65,8.71,32131600,0
IBE.MC,D,20061011,000000,8.60,8.71,8.50,8.55,39447200,0
IBE.MC,D,20061012,000000,8.52,8.62,8.50,8.62,23247200,0
IBE.MC,D,20061013,000000,8.62,8.69,8.55,8.64,14072400,0
IBE.MC,D,20061016,000000,8.61,8.67,8.54,8.60,18403400,0
IBE.MC,D,20061017,000000,8.65,8.68,8.58,8.60,21027500,0
IBE.MC,D,20061018,000000,8.63,8.73,8.63,8.73,18232400,0
IBE.MC,D,20061019,000000,8.72,8.81,8.65,8.80,19116800,0
IBE.MC,D,20061020,000000,8.81,8.98,8.76,8.94,31319100,0
IBE.MC,D,20061023,000000,8.92,9.05,8.86,9.00,39205900,0
IBE.MC,D,20061024,000000,8.99,9.03,8.93,9.00,38920000,0
IBE.MC,D,20061025,000000,9.01,9.02,8.94,8.98,22185100,0
IBE.MC,D,20061026,000000,9.00,9.02,8.95,8.96,22297700,0
IBE.MC,D,20061027,000000,8.98,9.05,8.94,9.05,31418000,0
IBE.MC,D,20061030,000000,9.02,9.05,8.96,9.02,17478200,0
IBE.MC,D,20061031,000000,9.00,9.00,8.96,8.99,13846800,0
IBE.MC,D,20061101,000000,8.98,9.00,8.97,8.99,10620200,0
IBE.MC,D,20061102,000000,8.99,9.08,8.93,9.04,23325000,0
IBE.MC,D,20061103,000000,9.09,9.10,8.98,9.02,13765300,0
IBE.MC,D,20061106,000000,9.00,9.10,9.00,9.05,23607700,0
IBE.MC,D,20061107,000000,9.06,9.07,9.00,9.03,18088200,0
IBE.MC,D,20061108,000000,9.03,9.06,9.00,9.03,11026400,0
IBE.MC,D,20061109,000000,8.76,8.94,8.72,8.86,33330700,0
IBE.MC,D,20061110,000000,8.84,8.87,8.52,8.69,34942500,0
IBE.MC,D,20061113,000000,8.57,8.57,8.43,8.46,77158100,0
IBE.MC,D,20061114,000000,8.47,8.57,8.45,8.51,26979200,0
IBE.MC,D,20061115,000000,8.54,8.62,8.49,8.56,16896100,0
IBE.MC,D,20061116,000000,8.61,8.65,8.58,8.61,11561600,0
IBE.MC,D,20061117,000000,8.60,8.61,8.46,8.51,16506300,0
IBE.MC,D,20061120,000000,8.51,8.57,8.49,8.54,12919000,0
IBE.MC,D,20061121,000000,8.51,8.55,8.41,8.45,22344800,0
IBE.MC,D,20061122,000000,8.46,8.50,8.27,8.32,36181800,0
IBE.MC,D,20061123,000000,8.34,8.38,8.27,8.36,11224900,0
IBE.MC,D,20061124,000000,8.32,8.41,8.26,8.28,19396700,0
IBE.MC,D,20061127,000000,8.26,8.31,8.19,8.19,21855400,0
IBE.MC,D,20061128,000000,8.00,8.09,7.95,8.02,73978400,0
IBE.MC,D,20061129,000000,8.10,8.38,8.06,8.37,146737200,0
IBE.MC,D,20061130,000000,8.53,8.61,8.37,8.38,81397700,0
IBE.MC,D,20061201,000000,8.50,8.56,8.17,8.24,59247700,0
IBE.MC,D,20061204,000000,8.30,8.38,8.21,8.37,36548400,0
IBE.MC,D,20061205,000000,8.38,8.50,8.36,8.50,30903000,0
IBE.MC,D,20061206,000000,8.51,8.52,8.40,8.44,29524100,0
IBE.MC,D,20061207,000000,8.40,8.44,8.32,8.36,23892500,0
IBE.MC,D,20061208,000000,8.34,8.35,8.22,8.27,24884100,0
IBE.MC,D,20061211,000000,8.31,8.39,8.30,8.33,46329300,0
IBE.MC,D,20061212,000000,8.34,8.35,8.28,8.32,23631200,0
IBE.MC,D,20061213,000000,8.32,8.36,8.29,8.35,79059000,0
IBE.MC,D,20061214,000000,8.38,8.40,8.33,8.35,23957200,0
IBE.MC,D,20061215,000000,8.38,8.40,8.28,8.37,87217200,0
IBE.MC,D,20061218,000000,8.33,8.36,8.29,8.32,60188400,0
IBE.MC,D,20061219,000000,8.26,8.33,8.26,8.29,37091000,0
IBE.MC,D,20061220,000000,8.32,8.37,8.27,8.31,28931000,0
IBE.MC,D,20061221,000000,8.32,8.32,8.25,8.27,37283200,0
IBE.MC,D,20061222,000000,8.26,8.27,8.20,8.25,39684400,0
IBE.MC,D,20061225,000000,8.25,8.25,8.25,8.25,000,0
IBE.MC,D,20061226,000000,8.25,8.25,8.25,8.25,000,0
IBE.MC,D,20061227,000000,8.20,8.31,8.20,8.31,20168800,0
IBE.MC,D,20061228,000000,8.35,8.36,8.26,8.32,62780200,0
IBE.MC,D,20061229,000000,8.35,8.35,8.26,8.28,14965500,0
IBE.MC,D,20070101,000000,8.28,8.28,8.28,8.28,000,0
IBE.MC,D,20070102,000000,8.25,8.37,8.22,8.27,24501100,0
IBE.MC,D,20070103,000000,8.30,8.31,8.25,8.30,32922200,0
IBE.MC,D,20070104,000000,8.25,8.25,8.19,8.25,34345900,0
IBE.MC,D,20070105,000000,8.22,8.23,8.10,8.16,98886400,0
IBE.MC,D,20070108,000000,8.16,8.18,8.10,8.15,53551900,0
IBE.MC,D,20070109,000000,8.15,8.17,8.11,8.14,40038600,0
IBE.MC,D,20070110,000000,8.14,8.14,8.07,8.07,45450700,0
IBE.MC,D,20070111,000000,8.15,8.17,8.01,8.14,46102600,0
